contributor,country,court,district,case,number,date,link,link_english,summary
Brianna Schofield,United States,United States Court of Appeals,Second Circuit ,"Marvel Characters, Inc. v. Simon","310 F.3d 280, 292 (2d Cir. 2002)",2002-11-02,http://caselaw.findlaw.com/us-2nd-circuit/1113903.html,,"Finding that a settlement agreement, entered into long after a work’s creation, stipulating that a work was created for hire constitutes “any agreement to the contrary” under 17 U.S.C. § 304(c)"
Brianna Schofield,United States,United States Court of Appeals,9th Circuit,Milne v. Stephen Slesinger,"430 F.3d 1036, 1039 (9th Cir. 2005)",2005-12-08,http://caselaw.findlaw.com/us-9th-circuit/1304228.html,,Finding that a new agreement that revoked the original grant and re-issued rights in the works to the appellee was valid
Brianna Schofield,United States,United States Court of Appeals,2nd Circuit,Penguin Group (USA) Inc. v. Steinbeck,537 F.3d 193 (2d Cir. 2008),2008-08-13,http://caselaw.findlaw.com/us-2nd-circuit/1410875.html,,Finding that neither the plain language nor legislative intent of the Copyright Act precluded authors and their statutory successors from losing the right to terminate a pre-1978 grant by renegotiating it
Brianna Schofield,United States,United States Court of Appeals,9th Circuit,Classic Media v. Mewborn,532 F. 3d 978 (9th Cir. 2008),2008-07-11,http://caselaw.findlaw.com/us-9th-circuit/1140019.html,,Holding a later agreement transferring rights before a termination vested did not preclude termination since such an assignment would be void as an “agreement to the contrary” pursuant to 17 U.S.C. § 304(c)
Cynthia Khoo,Canada,Federal Court of Canada,Federal,Wing v. Velthuizen,9 CPR (4th) 449; 197 FTR 126,2000-11-20,https://www.canlii.org/en/ca/fct/doc/2000/2000canlii16609/2000canlii16609.html,,"Held that the first owner of copyright is entitled to assign that copyright in a will. (Copyright assigned in a will is an exception to reversionary rights as provided for in section 14(1) of the Copyright Act.) Also held that a copyright that is not mentioned in a will ""passes under the gift of residue to the residuary legatees"". "
Cynthia Khoo,Canada,Federal Court of Canada,Trial Division,Winkler v. Roy (Kelley v. Roy),2002 FCT 950,2002-09-12,https://www.canlii.org/en/ca/fct/doc/2002/2002fct950/2002fct950.html?,,"Found that reversionary rights, as provided for in section 14(1) of the Copyright Act, makes void any assignment of copyright beyond 25 years after the author's death, if the author was the first owner of the copyright. When the reversionary rights period begins, the copyright returns to the author's estate."
Cynthia Khoo,Canada,Ontario Superior Court of Justice,Ontario,Anne of Green Gables Licensing Authority Inc. v. Avonlea Traditions Inc.,4 CPR (4th) 289; [2000] OJ No 740 (QL); Court File No. 95-CU-89192,2000-03-10,https://www.canlii.org/en/on/onsc/doc/2000/2000canlii22663/2000canlii22663.html?,,"Copyright-related rights held under prior Canadian and English legislation, before the 1921 Copyright Act came into force, have been substituted by new rights provided for in Schedule 1 of that Act, which was carried over to the 1985 Copyright Act. (e.g. Works with copyright of author's life plus 7 years became works with copyright of author's life plus 50 years.) 

Section 60(2)(a) of the 1985 Copyright Act provides that if the original assignee of the copyright, that is subject to reversionary rights, gives written notice of their claim to the author's estate (with the estate being the owner to whom the copyright reverts), then the copyright will not revert as section 14(1) stipulates. The assignee must send written notice--by registered post or, failing that, by advertising in the Canada Gazette--between six months and one year before the date of reversion (25 years after author's death). The onus is on the assignee to demonstrate evidence that they gave such notice at the valid time. 

Also, under section 60(2)(b), the court found: ""if the estate of the author advances no claim to reversionary rights, then during the twenty‑five‑year reversionary period, the assignee of the copyright may continue to assert that copyright."" 

Summary of full decision (by ROBIC): https://www.robic.ca/wp-content/uploads/2017/05/238-03BGA.pdf "
Cynthia Khoo,Canada,Ontario Supreme Court,Ontario Court (General Division),Redwood Music Ltd. v. Bourne Estate,Court File No. B52/95; 71689/91Q,1995-09-28,https://www.canlii.org/en/on/onsc/doc/1995/1995canlii7324/1995canlii7324.html,,"This case determined what happens to an assigned copyright after reversionary rights are activated, in the balance of years that the 1921 Copyright Act granted through substituted copyright, which extended the copyright of works from prior durations under various laws, to author's life plus 50 years. The court found that copyrights assigned under pre-1921 copyright law would revert to the author as they would have originally, unless a new and express agreement assigning the copyright specifically for the new balance of the extended copyright term (arising from the new 1921 Copyright Act) was signed between the copyright owner and assignee, after the 1921 Act came into force. Assignments of the post-reversion copyright made before the 1921 Copyright Act came into force are not valid.

The assignee would also retain the right to use their assigned copyright after the original reversion date if they gave notice and paid a ""reasonable fee"". "
Cynthia Khoo,Canada,Ontario Court of Appeal,Quebec,Desmarais c. Edimag Inc.,[2003] RJQ 1056,2003-04-03,https://www.canlii.org/fr/qc/qcca/doc/2003/2003canlii17515/2003canlii17515.html,,"For determining copyright in photography, the first owner of copyright is ""the owner of the photograph or the plate even if this owner is not the creator of the work as such"". This includes owning the negative of the photograph. (Article 13(1) of Loi sur le droit d'auteur, LRC 1985, c C-42). Exception: If someone commissioned the photograph or the original photography shot for remuneration, then that person is the first owner of the copyright, unless expressly agreed otherwise. (Article 13(2) of Loi sur le droit d'auteur, LRC 1985, c C-42) "
Lucie Guibault,Netherlands,Hoge Raad [Supreme Court],The Hague,Nanada Music B.V.,15/03787,2017-07-07,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:HR:2017:1270,,"5.1.1 The appeal is directed against the judgment of the court in para. 3.9 that the termination of the agreements on 28 August 2011, with immediate effect, had legal effect. The complaints on appeal seek relief against the judgments of the court that the agreements, in view of the strong relationship they show with permanent contracts for an indefinite period, can in principle be terminated prematurely (section I.II and II), that such termination, in view of the requirements of reasonableness and fairness, implies that Nanada cs are obliged to transfer the music publishing rights back to [defendants] (part I.I) and that in this case there are insufficient grounds to judge that termination of the agreements is only possible where sufficient grounds for cancellation exist (section III).

5.1.2
In assessing the substance, the starting point is the Copyright Contract Act, which came into force on 1 July 2015 (Law of 30 June 2015 amending the Copyright Act and the Neighboring Rights Act in connection with the strengthening of the position of the author and the performing artist had not yet reached agreement with regard to agreements concerning copyright and neighboring law, Bulletin of Acts and Decrees 2015, 257) at the time of the Court's judgment.

(...)

5.4
Insofar as section I.I is based on the same principles as the complaints rejected in 5.2.2 and 5.3.2 above, it fails on the grounds stated therein. The complaint that, without further explanation, it is not possible to see why termination of the agreements entails that Nanada et al. is obliged to transfer the music publishing rights back and that a single reference to reasonableness and fairness is not sufficient, is unfounded. In the judgment of the court it was decided that the transfer of the music publishing rights was ancillary and inextricably linked to the obligation of Nanada et al. to promote and exploit the works. Based on this assumption and taking into account that the agreements themselves do not contain any arrangement for the consequences that a cancellation has for the publishing rights, in view of the provisions in art. 6: 248 paragraph 1 of the Dutch Civil Code - the judgment of the court that follows from the requirements of reasonableness and fairness that Nanada et al. must transfer these rights again to [defendants], does not show an error of law and is understandable without further explanation.

5.5.1
Part III complains, among other things, that in the light of the theses of Nanada et al. It is incomprehensible that the Court of Appeal finds that there are insufficient grounds for holding that denunciation of the agreements is only possible if there is sufficient compelling ground for the termination. Among other things, the section relies on statements about the nature and scope of the agreements and the fact that these constitute an important source of income for Nanada et al., from which investments in music authors and artists are recouped.

5.5.2
According to settled case law, the requirements of reasonableness and fairness in relation to the nature and content of the agreement and the circumstances of the case may lead to cancellation only being possible if there is sufficient compelling reason for this (see, for example, HR October 28, 2011, ECLI: NL: HR: 2011: BQ9854, NJ 2012/685).

5.5.3
In the context of the creation of the Copyright Contracts Act (see 5.1.2), attention was paid to the possibility of terminating an exploitation contract. In the preliminary draft that had been submitted for consultation, non-transferability of copyright during the creator's life was foreseen. This was linked to the periodic termination of exclusive licenses. As a result of objections, this regulation has been waived and a system has been chosen whereby the creator can dissolve in whole or in part the agreement in which he has transferred or licensed his copyrights for exploitation if his counterparty does the work within a reasonable period after the closing of the contract, the contract or after the last exploitation of the work is not or is no longer sufficiently operated. The power to dissolve arises after the maker has granted the party to whom the rights have been granted a reasonable period of time within which to exploit the work to a sufficient extent and that this exploitation does not take place within this period. (See article 25e Aw). The following is stated in the explanatory memorandum (Kamerstukken II 2011-2012, 33 308, no. 3, pp. 6-7):

""It has been decided not to introduce a periodical termination right because it is feared that the uncertainty associated with a termination right will lead to operators wishing to take fewer risks and that the measure would therefore have a profound effect on the investment climate. (...) In conclusion, an alternative proposal has been made by the Copyright Commission which would also have the consequence of the termination right that makers can award the exploitation to another party if the exploitation is not or insufficiently taken up by the party that has the rights. With the Copyright Commission, the government is of the opinion that the proposed result can equally be achieved by further elaboration of the non-usus rule. The decisive factor here is that a non-usus regulation does not have the potentially far-reaching negative consequences for the exploitation of the copyright that many have provided in the consultation on the non-transferability of the copyright and the associated right to cancel the license. ""

It can be inferred from this that it is not considered desirable that exploitation contracts such as the present are automatically terminable because, in view of the investments that an operator undertakes for a work, this would lead to too much legal uncertainty, willingness to invest and ultimately not benefit the creators.
Instead, a system was chosen whereby the possibility of dissolving an agreement in the event of insufficient exploitation (non usus) has been further elaborated (among other things by stipulating that the operator must be given a reasonable period of time in order to still perform and by making provisions for in case the operator is unwilling or unable to transfer the copyright to the creator).

5.5.4
Although, as previously considered, art. 25e Aw is not applicable to the present case, it must be accepted in the light of the societal views that emerge from the history of the emergence that, given the nature and purport of an exploitation agreement such as this, in principle sufficient serious grounds are required for terminating it.

However, the undesirability of an unlimited cancellation option loses weight, as an exploitation agreement has lasted longer and investments can be recovered. Depending on the circumstances of the case, the judge can therefore come to the conclusion that in a specific case no weighty ground was required for the termination.

5.5.5
In the light of the foregoing, the part succeeds. The Court of Appeal did not motivate its judgment that no ground was necessary for the termination. In view of the theses of Nanada et al. presented above in 5.5.1, however, it was required to do so."
