contributor,country,title,author,link,link_english,summary
Brianna Schofield,United States,Authors Alliance/Creative Commons Termination of Transfer Tool,Authors Alliance and Creative Commons,www.rightsback.org,,Provides a tool to help authors learn more about termination of transfer and how to evaluate whether a work is eligible for termination under U.S. law
Brianna Schofield,United States,Authors Alliance Termination of Transfer Resource page,,https://www.authorsalliance.org/resources/termination-of-transfer/,,"Provides resources for authors to understand termination of transfer provisions, including guidance and templates for providing notice of termination to rightsholders and recording the termination with the U.S. Copyright Office "
Brianna Schofield,United States,37 CFR 201.10: Notices of termination of transfers and licenses,,https://www.law.cornell.edu/cfr/text/37/201.10,,Outlines requirements for notices of termination of transfers and licenses under U.S. law
Brianna Schofield,United States,"Compendium of U.S. Copyright Office Practices, Section 2310: Notices of Termination",,https://www.copyright.gov/comp3/chap2300/ch2300-recordation.pdf,,Describes U.S. Copyright Office practices for recording notices of termination 
Brianna Schofield,United States,"U.S. Copyright Office, Analysis of Gap Grants Under the Termination Provisions of Title 17",,https://www.copyright.gov/reports/gap-grant-analysis.pdf,,"Discusses the applicability of the termination provisions to grants or transfers and licenses of copyrights made prospectively by authors (those entered into before January 1, 1978 for works that were not created until January 1, 1978 or later)"
Brianna Schofield,United States,Renegotiation of the Copyright Deal in the Shadow of the ‘Inalienable’ Right to Terminate,Lydia Loren,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1611256,,Discusses why U.S. copyright policy dictates that freedom and sanctity of contract must give way to the rights of authors and their families to negate otherwise valid assignments and licenses
Brianna Schofield,United States,Pooh-Poohing Copyright Law’s “Inalienable” Termination Rights,Peter S. Menell & David Nimmer,http://ssrn.com/abstract=1525516,,Analyzes court decisions permitting a grantee to renegotiate the terms of the grant and provides a framework for restoring the integrity and clarity of the termination of transfer provisions
Brianna Schofield,United States,Authors’ Human Rights and Copyright Policy,Graeme Austin,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3018950,,Discusses opportunities for taking account of authors’ human rights guarantees in domestic copyright policy and uses the exercise of the termination right as an example
Brianna Schofield,United States,Be Careful Where You Live When You Die: Termination of Copyright Transfers and the Road to Marriage Equality,R. Anthony Reese,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2608130,,"Discusses how U.S. copyright law’s termination provisions, from their enactment in 1978, have treated gay and lesbian authors with same-sex partners less favorably than authors with different-sex partners"
Cynthia Khoo,Canada,Long Time Coming: Copyright Reversionary Interests in Canada,Bob Tarantino,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2368464,,"From article: “This article describes the two reversion mechanisms found in the Copyright Act (the first in Section 14 and the second in Section 60(2)), reviews how they operate, how Canadian courts have interpreted them, identifies various unanswered questions about their operation and concludes by offering arguments as to why the reversionary interests should be repealed.”"
